0.33387,0.47588,0.3,0.38108
0.44139,0.44737,0.41667,0.37811
0.341,0.45514,0.49576,0.39429
0.33893,0.44439,0.41883,0.39472
0.36447,0.4631,0.30719,0.36127
0.33733,0.46714,0.37814,0.37815
0.32664,0.49018,0.46221,0.50393
0.32332,0.47295,0.35774,0.38752
0.35914,0.49157,0.36614,0.41141
0.35369,0.44394,0.31629,0.52915
0.39846,0.45222,0.3999,0.3349
0.3523,0.43558,0.39585,0.39324
0.43146,0.49832,0.41228,0.4167
0.31039,0.43301,0.30457,0.36675
0.4008,0.43802,0.28268,0.39287
0.39153,0.45736,0.32659,0.39096
0.25853,0.42327,0.42239,0.29608
0.3652,0.39489,0.30949,0.34641
0.35086,0.43057,0.30027,0.2866
0.37529,0.41996,0.40194,0.35082
0.34927,0.47342,0.34866,0.45247
0.36644,0.46414,0.29191,0.41901
0.34603,0.46325,0.30439,0.48192
0.42402,0.46972,0.32209,0.38308
0.35016,0.465,0.36606,0.36121
0.35942,0.50977,0.37905,0.45479
0.34939,0.48753,0.37423,0.41755
0.41103,0.45106,0.35861,0.42615
0.40688,0.42068,0.34021,0.4192
0.36367,0.43977,0.3917,0.47479
0.36915,0.39495,0.32401,0.37188
0.34401,0.45425,0.24218,0.41611
0.37188,0.37003,0.41586,0.34362
0.34192,0.41646,0.27793,0.47409
0.33636,0.45513,0.39692,0.45488
0.38834,0.44472,0.27925,0.33197
0.34862,0.43543,0.35079,0.42699
0.3406,0.40302,0.33044,0.31836
0.36156,0.44685,0.39162,0.39153
0.37112,0.43627,0.27869,0.43426
0.35285,0.42255,0.4733,0.35615
0.36492,0.44508,0.39478,0.4123
0.38059,0.41611,0.37475,0.45304
0.27736,0.47,0.37705,0.42025
0.36214,0.44022,0.39677,0.33648
0.36116,0.42466,0.40757,0.38134
0.35945,0.42163,0.34257,0.35164
0.36925,0.44542,0.40925,0.43686
0.32476,0.45395,0.3711,0.29824
0.32301,0.37842,0.23284,0.34845
0.35327,0.45916,0.38665,0.38676
0.37479,0.42435,0.23283,0.48671
0.34429,0.41068,0.33131,0.35989
0.29697,0.44636,0.33064,0.33215
0.31164,0.45273,0.35402,0.46713
0.32423,0.46478,0.35515,0.38279
0.36165,0.46259,0.35094,0.4202
0.32386,0.44892,0.40688,0.55338
0.36844,0.4417,0.35251,0.46241
0.3412,0.4105,0.36374,0.47455
0.36151,0.39548,0.42718,0.43434
0.3514,0.40118,0.43006,0.52731
0.36896,0.44453,0.38528,0.53763
0.36911,0.44062,0.41995,0.43484
0.37907,0.43201,0.37132,0.32823
0.38985,0.46226,0.38542,0.37449
0.37517,0.46664,0.37249,0.40313
0.36808,0.44564,0.38436,0.34225
0.36956,0.43928,0.3081,0.34634
0.3646,0.46184,0.34248,0.46839
0.32964,0.41345,0.27022,0.49423
0.37385,0.37101,0.46839,0.39302
0.30323,0.42411,0.38278,0.39809
0.3557,0.45043,0.35456,0.43895
0.38467,0.45038,0.32824,0.3346
0.38635,0.43248,0.3346,0.4639
0.33751,0.39517,0.36766,0.4268
0.36221,0.41927,0.27131,0.56685
0.38931,0.41581,0.34618,0.41494
0.38787,0.45069,0.41744,0.41017
0.40439,0.42468,0.40172,0.40692
0.42191,0.43712,0.32574,0.5032
0.40861,0.43109,0.37016,0.42043
0.41447,0.43082,0.42738,0.40057
0.43352,0.4712,0.3677,0.36203
0.42348,0.42925,0.40432,0.38011
0.40583,0.4255,0.41377,0.42148
0.39109,0.41387,0.43522,0.40148
0.39622,0.44507,0.38106,0.37683
0.39619,0.44557,0.40243,0.41009
0.35298,0.43713,0.38905,0.45216
